Results	Entity	Line	Column	CheckID	Check Name	Ignored	Note
Number of Results: 1080							
/home/gabriele/projects/ninvaders-0.1.1/aliens.c							
Non unique external identifier level conflicts with entity level in file nInvaders.h on line 50	level	37	12	MISRA12_5.8	5.8 Identifiers that define objects or functions with external linkage shall be unique		
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
"Violation: basic numerical type """"int"""" used."	i	34	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	j	34	14	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used in """"int [5][10]""""."	level	37	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function aliensReset"	aliensReset	32	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Non distinct external identifier bunkersReset conflicts with entity bunkersClear in file view.c	bunkersReset	79	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier bunkersReset conflicts with entity bunkersHitCheck in file aliens.c	bunkersReset	79	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier bunkersReset conflicts with entity bunkersDisplay in file view.c	bunkersReset	79	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier bunkersReset conflicts with entity bunkersClearElement in file view.c	bunkersReset	79	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier bunkersReset conflicts with entity bunkersRefresh in file aliens.h	bunkersReset	79	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
"Keyword """"void"""" not used to denote empty parameter list for function bunkersReset"	bunkersReset	79	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	a	81	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	b	81	15	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"char"""" used in """"char [4][81]""""."	bunkerd	85	13	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Iteration-statement or selection-statement not a compound-statement	bunkersReset	97	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement		
Iteration-statement or selection-statement not a compound-statement	bunkersReset	99	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement		
"Violation: basic numerical type """"int"""" used."	aliensMove	112	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function aliensMove"	aliensMove	112	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	cx	115	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	cy	115	15	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	fReachedPlayer	116	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function render"	render	156	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	k	158	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	row	158	14	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	c	159	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Non distinct external identifier aliensMissileMove conflicts with entity aliensMove in file aliens.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliensMissileMove conflicts with entity aliensReset in file aliens.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliensMissileMove conflicts with entity aliensClear in file view.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliensMissileMove conflicts with entity aliensDisplay in file view.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliensMissileMove conflicts with entity aliensMissileClear in file view.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliensMissileMove conflicts with entity aliensMissileDisplay in file view.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliensMissileMove conflicts with entity aliensRefresh in file view.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliensMissileMove conflicts with entity aliensHitCheck in file aliens.c	aliensMissileMove	199	4	MISRA12_5.1	5.1 External identifiers shall be distinct		
"Violation: basic numerical type """"int"""" used."	aliensMissileMove	199	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function aliensMissileMove"	aliensMissileMove	199	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
