Results	Entity	CheckID	Line	Column	Ignored	Note
Number of Results: 167						
Published Standards						
MISRA C 2012						
17.8 A function parameter should not be modified - MISRA12_17.8 -- 17.8 ( Advisory ) A function parameter should not be modified.						
/home/gabriele/projects/unifi-nInvaders/nInvaders.c						
Parameter lastmove is modified	readInputDefault	MISRA12_17.8	162	4		
Parameter lastmove is modified	readInputDefault	MISRA12_17.8	170	4		
Parameter lastmove is modified	readInputDefault	MISRA12_17.8	184	4		
Parameter aliens_move_counter is modified	handleGameNextLevel	MISRA12_17.8	224	2		
Parameter aliens_shot_counter is modified	handleGameNextLevel	MISRA12_17.8	225	2		
Parameter ufo_move_counter is modified	handleGameNextLevel	MISRA12_17.8	227	2		
Parameter aliens_shot_counter is modified	handleGameLoop	MISRA12_17.8	270	35		
Parameter player_shot_counter is modified	handleGameLoop	MISRA12_17.8	271	35		
Parameter aliens_move_counter is modified	handleGameLoop	MISRA12_17.8	272	39		
Parameter ufo_move_counter is modified	handleGameLoop	MISRA12_17.8	273	32		
Parameter game_over_counter is modified	handleGameOver	MISRA12_17.8	282	4		
Parameter game_over_counter is modified	handleGameOver	MISRA12_17.8	285	4		
Parameter title_animation_counter is modified	handleGameHighScore	MISRA12_17.8	294	39		
/home/gabriele/projects/unifi-nInvaders/view.c						
Parameter wTitleText is modified	titleScreenDisplayTitleText	MISRA12_17.8	388	2		
Parameter wAliensLocal is modified	titleScreenDisplayAliensLocal	MISRA12_17.8	411	2		
Parameter wStartText is modified	titleScreenDisplayWStartText	MISRA12_17.8	432	2		
21.10 The Standard Library time and date functions shall not be used - MISRA12_21.10 -- 21.10 (Required) The Standard Library time and date functions shall not be used						
/home/gabriele/projects/unifi-nInvaders/nInvaders.c						
time.h used	signal.h	MISRA12_21.10	24	0	Ignored	
21.2 A reserved identifier or macro name shall not be declared - MISRA12_21.2 -- 21.2 (Required) A reserved identifier or macro name shall not be declared.						
/home/gabriele/projects/unifi-nInvaders/nInvaders.c						
Reserved Identifier, Macro, or Function declared in file nInvaders.c	exit	MISRA12_21.2	91	4		
21.5 The standard header file <signal.h> shall not be used - MISRA12_21.5 -- 21.5 (Required) The standard header file <signal.h> shall not be used						
/home/gabriele/projects/unifi-nInvaders/nInvaders.c						
header file signal.h used.	nInvaders.c	MISRA12_21.5	24	0	Ignored	
/home/gabriele/projects/unifi-nInvaders/view.c						
header file signal.h used.	view.c	MISRA12_21.5	28	0	Ignored	
21.8 The library functions abort, exit, getenv and system of <stdlib.h> shall not be used - MISRA12_21.8 -- 21.8 (Required) The library functions abort, exit, getenv and system of <stdlib.h> shall not be used						
/home/gabriele/projects/unifi-nInvaders/view.c						
cstdlib function exit used in file view.c	exit	MISRA12_21.8	563	2	Ignored	
5.1 External identifiers shall be distinct - MISRA12_5.1 -- 5.1 (Global)( Required ) External identifiers shall be distinct.						
/home/gabriele/projects/unifi-nInvaders/aliens.c						
Non distinct external identifier bunkersHitCheck conflicts with entity bunkersClear in file view.c	bunkersHitCheck	MISRA12_5.1	249	8		
Non distinct external identifier bunkersHitCheck conflicts with entity bunkersDisplay in file view.c	bunkersHitCheck	MISRA12_5.1	249	8		
Non distinct external identifier bunkersHitCheck conflicts with entity bunkersReset in file aliens.c	bunkersHitCheck	MISRA12_5.1	249	8		
